month,trades,wins,win_rate,net_pnl,gross_pnl,costs
2015-11,1,0,0.0,-7919,-7534,385
2015-12,4,1,25.0,-35118,-33585,1534
2016-01,9,6,66.7,61446,64829,3385
2016-02,15,5,33.3,-61719,-56159,5561
2016-03,6,2,33.3,-6510,-4288,2220
2016-04,6,4,66.7,69100,71362,2262
2016-05,6,2,33.3,-6820,-4500,2317
2016-06,6,3,50.0,-6264,-3869,2395
2016-07,3,3,100.0,61112,62339,1228
2016-08,6,1,16.7,-10915,-8393,2523
2016-09,4,2,50.0,2118,3820,1701
2016-10,6,0,0.0,-54487,-51966,2521
2016-11,5,2,40.0,21459,23468,2008
2016-12,9,5,55.6,18636,22213,3577
2017-01,4,2,50.0,35649,37264,1614
2017-02,5,4,80.0,41118,43237,2121
2017-03,4,3,75.0,30338,32071,1732
2017-04,3,2,66.7,16223,17546,1323
2017-05,5,4,80.0,49487,51738,2252
2017-06,5,2,40.0,2332,4635,2304
2017-07,6,5,83.3,49279,52091,2811
2017-08,6,0,0.0,-49816,-46976,2839
2017-09,6,1,16.7,-45552,-42708,2844
2017-10,3,1,33.3,-13307,-11883,1425
2017-11,7,2,28.6,7364,10800,3436
2017-12,7,3,42.9,9085,12513,3426
2018-01,3,3,100.0,86835,88365,1530
2018-02,6,0,0.0,-68692,-65643,3049
2018-03,6,3,50.0,32417,35368,2952
2018-04,7,2,28.6,-4439,-1006,3431
2018-05,6,2,33.3,-7340,-4316,3025
2018-06,6,1,16.7,-25649,-22590,3058
2018-07,5,3,60.0,35753,38337,2585
2018-08,5,4,80.0,55519,58203,2685
2018-09,7,1,14.3,-33312,-29544,3768
2018-10,9,4,44.4,7029,11557,4527
2018-11,5,2,40.0,-14463,-11970,2493
2018-12,7,5,71.4,37395,40948,3552
2019-01,6,0,0.0,-36464,-33393,3071
2019-02,8,2,25.0,-62622,-58513,4108
2019-03,2,1,50.0,28838,29884,1046
2019-04,6,3,50.0,52536,55842,3305
2019-05,8,3,37.5,15744,20643,4899
2019-06,3,0,0.0,-21982,-20269,1714
2019-07,7,3,42.9,6523,10359,3835
2019-08,8,3,37.5,-16278,-12100,4177
2019-09,7,4,57.1,33239,36883,3646
2019-10,7,5,71.4,52684,56447,3764
2019-11,4,2,50.0,40282,42519,2237
2019-12,7,5,71.4,20571,24531,3963
2020-01,9,2,22.2,-92086,-86944,5142
2020-02,9,5,55.6,52272,57311,5038
2020-03,24,10,41.7,-2,18097,18099
2020-04,12,3,25.0,-72286,-63943,8344
2020-05,9,3,33.3,32393,38248,5857
2020-06,6,4,66.7,160501,164042,3541
2020-07,6,4,66.7,109660,113170,3509
2020-08,6,2,33.3,-3101,281,3384
2020-09,6,4,66.7,72858,76203,3345
2020-10,4,2,50.0,20467,22636,2169
2020-11,3,3,100.0,99746,101528,1780
2020-12,6,5,83.3,156847,160620,3774
2021-01,6,2,33.3,61291,65436,4147
2021-02,8,5,62.5,126162,131951,5790
2021-03,7,2,28.6,-69198,-63960,5236
2021-04,9,4,44.4,-56706,-50454,6252
2021-05,5,1,20.0,-11704,-8124,3581
2021-06,6,5,83.3,106027,110363,4335
2021-07,4,2,50.0,-743,2167,2912
2021-08,4,3,75.0,154698,157694,2996
2021-09,3,3,100.0,73913,76298,2385
2021-10,7,4,57.1,63879,69617,5738
2021-11,8,3,37.5,23702,30205,6502
2021-12,12,5,41.7,-15902,-6423,9478
2022-01,5,2,40.0,36191,40242,4049
2022-02,10,3,30.0,-40893,-32810,8084
2022-03,9,4,44.4,26596,34494,7898
2022-04,8,2,25.0,20607,27192,6586
2022-05,6,1,16.7,-60862,-56111,4752
2022-06,7,3,42.9,-50435,-45085,5350
2022-07,7,4,57.1,85606,90898,5290
2022-08,3,2,66.7,142923,145303,2380
2022-09,4,2,50.0,-12579,-9352,3227
2022-10,4,0,0.0,-87122,-83901,3220
2022-11,5,4,80.0,197092,201248,4156
2022-12,7,2,28.6,-35085,-29202,5884
2023-01,8,2,25.0,-50699,-44104,6596
2023-02,9,2,22.2,-53208,-45860,7346
2023-03,7,2,28.6,-40543,-35018,5526
2023-04,3,1,33.3,-7263,-4864,2398
2023-05,7,5,71.4,131883,137701,5817
2023-06,6,4,66.7,59810,64910,5099
2023-07,5,4,80.0,32564,36994,4431
2023-08,6,0,0.0,-28505,-23172,5332
2023-09,5,2,40.0,-9271,-4809,4461
2023-10,6,1,16.7,-11338,-5982,5355
2023-11,6,2,33.3,-1124,4177,5301
2023-12,5,4,80.0,65982,70711,4730
2024-01,7,2,28.6,-15866,-9018,6847
2024-02,4,3,75.0,19489,23446,3955
2024-03,4,1,25.0,-25740,-21753,3989
2024-04,3,1,33.3,-5081,-2054,3027
2024-05,5,3,60.0,3127,8195,5070
