date,equity
2015-11-10,5000000.0
2015-11-11,4991670.0
2015-11-13,4957157.5
2015-11-16,4957157.5
2015-11-17,4959478.75
2015-11-18,4881648.75
2015-11-19,4859458.75
2015-11-20,4859458.75
2015-11-23,4863521.25
2015-11-24,4863521.25
2015-11-26,4857475.0
2015-11-27,4857475.0
2015-11-30,4861333.75
2015-12-02,4859871.25
2015-12-03,4856746.25
2015-12-04,4856746.25
2015-12-07,4856746.25
2015-12-08,4856746.25
2015-12-09,4912545.0
2015-12-10,4917855.0
2015-12-11,4885072.5
2015-12-14,4888042.5
2015-12-15,4888042.5
2015-12-16,4893085.0
2015-12-17,4916270.0
2015-12-18,4948388.75
2015-12-21,4948388.75
2015-12-22,4936301.25
2015-12-23,4922327.5
2015-12-24,4921470.0
2015-12-28,4918807.5
2015-12-29,4918807.5
2015-12-30,4927972.5
2015-12-31,4921710.0
2016-01-01,4921710.0
2016-01-04,4842653.75
2016-01-05,4842653.75
2016-01-06,4842653.75
2016-01-07,4842653.75
2016-01-08,4842653.75
2016-01-11,4815466.25
2016-01-12,4815466.25
2016-01-13,4815466.25
2016-01-14,4815466.25
2016-01-15,4815466.25
2016-01-18,4815466.25
2016-01-19,4815466.25
2016-01-20,4815466.25
2016-01-21,4815466.25
2016-01-22,4815466.25
2016-01-25,4815466.25
2016-01-27,4815466.25
2016-01-28,4815466.25
2016-01-29,4815466.25
2016-02-01,4814706.25
2016-02-02,4698761.250000001
2016-02-03,4698761.250000001
2016-02-04,4770937.500000001
2016-02-05,4770937.500000001
2016-02-08,4770937.500000001
2016-02-09,4770937.500000001
2016-02-10,4770937.500000001
2016-02-11,4770937.500000001
2016-02-12,4770937.500000001
2016-02-15,4770937.500000001
2016-02-16,4770937.500000001
2016-02-17,4770937.500000001
2016-02-18,4770937.500000001
2016-02-19,4770937.500000001
2016-02-22,4770937.500000001
2016-02-23,4770937.500000001
2016-02-24,4770937.500000001
2016-02-25,4770937.500000001
2016-02-26,4770937.500000001
2016-02-29,4770937.500000001
2016-03-01,4770937.500000001
2016-03-02,4770937.500000001
2016-03-03,4770937.500000001
2016-03-04,4770937.500000001
2016-03-08,4770937.500000001
2016-03-09,4770937.500000001
2016-03-10,4771397.500000001
2016-03-11,4767188.750000001
2016-03-14,4767188.750000001
2016-03-15,4737448.750000001
2016-03-16,4735541.250000001
2016-03-17,4735541.250000001
2016-03-18,4735541.250000001
2016-03-21,4735541.250000001
2016-03-22,4735541.250000001
2016-03-23,4735541.250000001
2016-03-28,4822708.750000001
2016-03-29,4823613.750000001
2016-03-30,4806338.750000001
2016-03-31,4806338.750000001
2016-04-01,4796371.250000001
2016-04-04,4788365.000000001
2016-04-05,4726795.000000001
2016-04-06,4730020.000000001
2016-04-07,4716440.000000001
2016-04-08,4716440.000000001
2016-04-11,4700383.750000001
2016-04-12,4700383.750000001
2016-04-13,4744671.250000001
2016-04-18,4744671.250000001
2016-04-20,4744671.250000001
2016-04-21,4834915.000000001
2016-04-22,4835552.500000001
2016-04-25,4913941.250000001
2016-04-26,4887192.500000001
2016-04-27,4887192.500000001
2016-04-28,4820837.500000001
2016-04-29,4820710.000000001
2016-05-02,4818580.000000001
2016-05-03,4830608.750000001
2016-05-04,4830608.750000001
2016-05-05,4844941.250000001
2016-05-06,4843813.750000001
2016-05-09,4820608.750000001
2016-05-10,4828223.750000001
2016-05-11,4815753.750000001
2016-05-12,4804155.000000001
2016-05-13,4718722.500000001
2016-05-16,4710698.750000001
2016-05-17,4710698.750000001
2016-05-18,4704953.750000001
2016-05-19,4689248.750000001
2016-05-20,4689248.750000001
2016-05-23,4697477.500000001
2016-05-24,4720040.000000001
