entry_date,exit_date,dir,entry,exit,pts,running,reason,days
2016-03-09,2016-03-15,LONG,7531.8,7460.6,-71.2,-71.2,struct,4
2016-06-16,2016-06-17,SHORT,8140.8,8170.2,-29.4,-100.6,struct,1
2016-08-19,2016-08-24,SHORT,8666.9,8650.3,16.6,-84.0,struct,3
2017-01-16,2017-01-20,LONG,8412.8,8349.4,-63.4,-147.4,struct,4
2017-02-03,2017-02-07,LONG,8741.0,8768.3,27.3,-120.1,struct,2
2017-02-13,2017-02-15,LONG,8805.0,8724.7,-80.3,-200.4,struct,2
2017-02-20,2017-02-27,LONG,8879.2,8896.7,17.5,-182.9,struct,4
2017-04-18,2017-04-20,SHORT,9105.2,9136.4,-31.2,-214.1,struct,2
2017-05-08,2017-05-12,LONG,9314.0,9400.9,86.9,-127.2,struct,4
2017-05-19,2017-05-25,SHORT,9427.9,9509.8,-81.9,-209.1,struct,4
2017-05-30,2017-06-01,LONG,9624.6,9616.1,-8.4,-217.5,struct,2
2017-06-22,2017-06-29,SHORT,9630.0,9504.1,125.9,-91.6,struct,4
2017-08-11,2017-08-14,SHORT,9710.8,9794.2,-83.4,-175.0,struct,1
2017-08-17,2017-08-18,LONG,9904.2,9837.4,-66.8,-241.8,struct,1
2018-02-01,2018-02-07,SHORT,11016.9,10476.7,540.2,298.4,struct,4
2018-09-11,2018-09-14,SHORT,11287.5,11515.2,-227.7,70.7,stop,2
2018-09-18,2018-09-21,SHORT,11278.9,11143.1,135.8,206.5,struct,2
2019-04-01,2019-04-03,LONG,11669.2,11644.0,-25.2,181.3,struct,2
2019-06-19,2019-06-20,SHORT,11691.4,11831.8,-140.3,41.0,struct,1
2019-11-13,2019-11-15,SHORT,11840.4,11895.4,-55.0,-14.0,struct,2
2019-11-27,2019-11-29,LONG,12100.7,12056.0,-44.7,-58.7,struct,2
2019-12-09,2019-12-10,LONG,11937.5,11856.8,-80.7,-139.4,struct,1
2021-01-05,2021-01-06,LONG,14199.5,14146.2,-53.2,-192.6,struct,1
2021-01-27,2021-01-29,SHORT,13967.5,13634.6,332.9,140.3,struct,2
2021-02-18,2021-02-24,SHORT,15119.0,14982.0,137.0,277.3,struct,4
2021-09-27,2021-09-28,LONG,17855.1,17748.6,-106.5,170.8,struct,1
2021-10-12,2021-10-19,LONG,17992.0,18418.8,426.8,597.6,struct,4
2022-08-23,2022-08-25,LONG,17577.5,17522.4,-55.0,542.6,struct,2
2022-09-19,2022-09-21,LONG,17622.2,17718.4,96.1,638.7,struct,2
2023-01-30,2023-02-01,LONG,17649.0,17616.3,-32.7,606.0,struct,2
2023-04-06,2023-04-17,LONG,17599.2,17706.8,107.7,713.7,struct,5
2023-05-30,2023-05-31,LONG,18633.8,18534.4,-99.4,614.3,struct,1
2023-07-05,2023-07-07,LONG,19398.5,19331.8,-66.7,547.6,struct,2
2023-08-28,2023-08-31,LONG,19306.0,19253.8,-52.2,495.4,struct,3
2023-09-26,2023-09-27,SHORT,19664.7,19716.4,-51.8,443.6,struct,1
2024-01-09,2024-01-10,LONG,21544.8,21618.7,73.9,517.5,struct,1
2024-01-25,2024-01-29,SHORT,21352.6,21737.6,-385.0,132.5,struct,1
2024-02-06,2024-02-08,LONG,21929.4,21718.0,-211.5,-79.0,struct,2
2024-12-11,2024-12-12,LONG,24641.8,24548.7,-93.1,-172.1,struct,1
2025-04-04,2025-04-08,SHORT,22904.4,22535.8,368.6,196.5,struct,2
2025-08-19,2025-08-22,LONG,24980.6,24870.1,-110.6,85.9,struct,3
2025-11-06,2025-11-10,SHORT,25509.7,25574.4,-64.6,21.3,struct,2
