entry_date,exit_date,dir,entry,exit,pts,running,reason,days
2016-04-07,2016-04-11,SHORT,7546.4,7671.4,-124.9,-124.9,signal,2
2016-04-13,2016-04-20,LONG,7850.4,7914.8,64.3,-60.6,signal,2
2016-04-25,2016-04-26,SHORT,7855.0,7962.6,-107.6,-168.2,signal,1
2016-04-28,2016-05-03,SHORT,7847.2,7747.0,100.2,-68.0,signal,3
2016-05-09,2016-05-11,LONG,7866.0,7848.8,-17.2,-85.2,signal,2
2016-05-13,2016-05-16,SHORT,7814.9,7860.8,-45.9,-131.1,signal,1
2016-05-19,2016-05-23,SHORT,7783.4,7731.0,52.3,-78.8,signal,2
2016-05-27,2016-05-31,LONG,8156.6,8160.1,3.5,-75.3,signal,2
2016-06-07,2016-06-08,LONG,8266.4,8273.0,6.6,-68.7,signal,1
2016-06-09,2016-06-10,SHORT,8203.6,8170.0,33.6,-35.1,signal,1
2016-06-13,2016-06-15,SHORT,8110.6,8206.6,-96.0,-131.1,signal,2
2016-06-16,2016-06-17,SHORT,8140.8,8170.2,-29.4,-160.5,signal,1
2016-06-21,2016-06-22,LONG,8219.9,8203.7,-16.2,-176.7,signal,1
2016-07-04,2016-07-05,LONG,8370.7,8336.0,-34.8,-211.5,signal,1
2016-07-11,2016-07-13,LONG,8467.9,8519.5,51.6,-159.9,signal,2
2016-07-21,2016-07-25,SHORT,8510.1,8635.6,-125.5,-285.4,signal,2
2016-07-28,2016-07-29,LONG,8666.3,8638.5,-27.8,-313.2,signal,1
2016-08-03,2016-08-05,SHORT,8544.8,8683.2,-138.3,-451.5,signal,2
2016-08-18,2016-08-19,LONG,8673.2,8666.9,-6.4,-457.9,signal,1
2016-08-22,2016-08-24,SHORT,8629.2,8650.3,-21.1,-479.0,signal,2
2016-08-25,2016-08-29,SHORT,8592.2,8607.4,-15.2,-494.2,signal,2
2016-08-30,2016-09-01,LONG,8744.4,8774.6,30.3,-463.9,signal,2
2016-09-06,2016-09-07,LONG,8943.0,8918.0,-25.0,-488.9,signal,1
2016-09-22,2016-09-23,LONG,8867.4,8831.6,-35.9,-524.8,signal,1
2016-10-13,2016-10-17,SHORT,8573.4,8520.4,53.0,-471.8,signal,2
2016-10-26,2016-10-28,SHORT,8615.2,8638.0,-22.8,-494.6,signal,2
2016-11-02,2016-11-07,SHORT,8514.0,8497.0,17.0,-477.6,signal,3
2016-12-07,2016-12-08,SHORT,8102.0,8246.8,-144.8,-622.4,signal,1
2016-12-19,2016-12-27,SHORT,8104.4,8032.8,71.5,-550.9,signal,6
2017-01-05,2017-01-06,LONG,8273.8,8243.8,-30.0,-580.9,signal,1
2017-01-10,2017-01-13,LONG,8288.6,8400.4,111.8,-469.1,signal,3
2017-01-20,2017-01-23,SHORT,8349.4,8391.5,-42.1,-511.2,signal,1
2017-01-24,2017-01-30,LONG,8475.8,8632.8,157.0,-354.2,signal,3
2017-01-31,2017-02-01,SHORT,8561.3,8716.4,-155.1,-509.3,signal,1
2017-02-15,2017-02-17,SHORT,8724.7,8821.7,-97.0,-606.3,signal,2
2017-02-21,2017-02-23,LONG,8907.8,8939.5,31.6,-574.7,signal,2
2017-02-27,2017-03-01,SHORT,8896.7,8945.8,-49.1,-623.8,signal,2
2017-03-02,2017-03-06,SHORT,8899.8,8963.4,-63.7,-687.5,signal,2
2017-03-08,2017-03-10,SHORT,8924.3,8934.6,-10.2,-697.7,signal,2
2017-03-14,2017-03-15,LONG,9087.0,9084.8,-2.2,-699.9,signal,1
2017-03-16,2017-03-20,LONG,9153.7,9126.8,-26.9,-726.8,signal,2
2017-03-22,2017-03-23,SHORT,9030.4,9086.3,-55.8,-782.6,signal,1
2017-03-24,2017-03-27,LONG,9108.0,9045.2,-62.8,-845.4,signal,1
2017-03-28,2017-03-31,LONG,9100.8,9173.8,73.0,-772.4,signal,3
2017-04-03,2017-04-05,LONG,9237.8,9265.2,27.3,-745.1,signal,1
2017-04-07,2017-04-11,SHORT,9198.3,9237.0,-38.7,-783.8,signal,2
2017-04-13,2017-04-18,SHORT,9150.8,9105.2,45.6,-738.2,signal,2
2017-04-20,2017-04-21,LONG,9136.4,9119.4,-17.0,-755.2,signal,1
2017-04-25,2017-04-27,LONG,9306.6,9342.2,35.5,-719.7,signal,2
2017-05-04,2017-05-05,LONG,9359.9,9285.3,-74.6,-794.3,signal,1
2017-05-15,2017-05-17,LONG,9445.4,9525.8,80.4,-713.9,signal,2
2017-06-02,2017-06-05,LONG,9653.5,9675.1,21.6,-692.3,signal,1
2017-06-06,2017-06-08,SHORT,9637.2,9647.2,-10.1,-702.4,signal,2
2017-06-12,2017-06-13,SHORT,9616.4,9606.9,9.5,-692.9,signal,1
2017-06-15,2017-06-16,SHORT,9578.0,9588.0,-10.0,-702.9,signal,1
2017-06-19,2017-06-20,LONG,9657.6,9653.5,-4.0,-706.9,signal,1
2017-06-21,2017-06-22,SHORT,9633.6,9630.0,3.6,-703.3,signal,1
