entry_date,exit_date,dir,entry,exit,pts,running,reason,days
2016-01-12,2016-01-13,SHORT,7510.3,7562.4,-52.1,-52.1,signal,1
2016-01-14,2016-01-15,LONG,7536.8,7437.8,-99.0,-151.1,signal,1
2016-01-18,2016-01-20,SHORT,7351.0,7309.3,41.7,-109.4,signal,2
2016-01-22,2016-01-27,LONG,7422.4,7437.8,15.3,-94.1,signal,2
2016-01-28,2016-01-29,SHORT,7424.6,7563.6,-138.9,-233.0,signal,1
2016-02-01,2016-02-02,LONG,7556.0,7455.6,-100.4,-333.4,signal,1
2016-02-03,2016-02-04,SHORT,7361.8,7404.0,-42.2,-375.6,signal,1
2016-02-05,2016-02-08,LONG,7489.1,7387.2,-101.9,-477.5,signal,1
2016-02-09,2016-02-15,SHORT,7298.2,7163.0,135.2,-342.3,signal,4
2016-02-17,2016-02-18,SHORT,7108.4,7191.8,-83.3,-425.6,signal,1
2016-02-19,2016-02-23,LONG,7210.8,7109.6,-101.2,-526.8,signal,2
2016-02-24,2016-02-26,SHORT,7018.7,7029.8,-11.1,-537.9,signal,2
2016-03-01,2016-03-08,LONG,7222.3,7485.3,263.0,-274.9,signal,4
2016-06-09,2016-06-14,SHORT,8203.6,8108.8,94.8,-180.1,signal,3
2016-07-28,2016-08-01,LONG,8666.3,8636.6,-29.8,-209.9,signal,2
2016-08-03,2016-08-05,SHORT,8544.8,8683.2,-138.3,-348.2,signal,2
2016-08-08,2016-08-09,LONG,8711.4,8678.2,-33.1,-381.3,signal,1
2016-08-10,2016-08-12,SHORT,8575.3,8672.2,-96.9,-478.2,signal,2
2016-08-16,2016-08-18,SHORT,8642.6,8673.2,-30.7,-508.9,signal,2
2016-11-10,2016-11-11,LONG,8525.8,8296.3,-229.5,-738.4,stop,1
2016-11-15,2016-11-23,SHORT,8108.4,8033.3,75.1,-663.3,signal,6
2016-11-24,2016-11-25,SHORT,7965.5,8114.3,-148.8,-812.1,signal,1
2016-11-28,2016-12-02,LONG,8126.9,8086.8,-40.1,-852.2,signal,4
2016-12-05,2016-12-06,SHORT,8128.8,8143.2,-14.4,-866.6,signal,1
2016-12-08,2016-12-12,LONG,8246.8,8170.8,-76.1,-942.7,signal,2
2016-12-14,2016-12-15,LONG,8182.4,8153.6,-28.8,-971.5,signal,1
2016-12-19,2016-12-27,SHORT,8104.4,8032.8,71.5,-900.0,signal,6
2016-12-28,2016-12-29,LONG,8034.8,8103.6,68.8,-831.2,signal,1
2016-12-30,2017-01-09,LONG,8185.8,8236.0,50.2,-781.0,signal,6
2017-01-11,2017-01-13,LONG,8380.6,8400.4,19.7,-761.3,signal,2
2017-01-17,2017-01-20,LONG,8398.0,8349.4,-48.6,-809.9,signal,3
2017-01-23,2017-01-24,SHORT,8391.5,8475.8,-84.3,-894.2,signal,1
2017-01-25,2017-01-31,LONG,8602.8,8561.3,-41.5,-935.7,signal,3
2017-02-02,2017-02-07,LONG,8734.2,8768.3,34.0,-901.7,signal,3
2017-02-08,2017-02-09,SHORT,8769.0,8778.4,-9.4,-911.1,signal,1
2017-02-10,2017-02-13,LONG,8793.6,8805.0,11.5,-899.6,signal,1
2017-02-15,2017-02-17,SHORT,8724.7,8821.7,-97.0,-996.6,signal,2
2017-02-21,2017-02-27,LONG,8907.8,8896.7,-11.1,-1007.7,signal,3
2017-02-28,2017-03-01,SHORT,8879.6,8945.8,-66.2,-1073.9,signal,1
2017-03-03,2017-03-06,SHORT,8897.6,8963.4,-65.9,-1139.8,signal,1
2017-03-07,2017-03-08,LONG,8946.9,8924.3,-22.6,-1162.4,signal,1
2017-03-10,2017-03-20,LONG,8934.6,9126.8,192.3,-970.1,signal,5
2017-03-21,2017-03-23,SHORT,9121.5,9086.3,35.2,-934.9,signal,2
2017-03-24,2017-03-27,LONG,9108.0,9045.2,-62.8,-997.7,signal,1
2017-03-28,2017-04-07,LONG,9100.8,9198.3,97.5,-900.2,signal,7
2017-04-10,2017-04-11,SHORT,9181.4,9237.0,-55.5,-955.7,signal,1
2017-04-13,2017-04-18,SHORT,9150.8,9105.2,45.6,-910.1,signal,2
2017-04-19,2017-04-20,SHORT,9103.5,9136.4,-32.9,-943.0,signal,1
2017-04-24,2017-04-28,LONG,9218.0,9304.0,86.1,-856.9,signal,4
2017-05-04,2017-05-05,LONG,9359.9,9285.3,-74.6,-931.5,signal,1
2017-05-09,2017-05-12,LONG,9316.8,9400.9,84.0,-847.5,signal,3
2017-05-15,2017-05-18,LONG,9445.4,9429.4,-15.9,-863.4,signal,3
2017-05-23,2017-05-25,SHORT,9386.2,9509.8,-123.6,-987.0,signal,2
2017-05-26,2017-06-01,LONG,9595.1,9616.1,21.0,-966.0,signal,4
2017-06-02,2017-06-06,LONG,9653.5,9637.2,-16.4,-982.4,signal,2
2017-06-08,2017-06-09,LONG,9647.2,9668.2,21.0,-961.4,signal,1
2017-06-12,2017-06-13,SHORT,9616.4,9606.9,9.5,-951.9,signal,1
2017-06-14,2017-06-19,SHORT,9618.2,9657.6,-39.4,-991.3,signal,3
2017-06-20,2017-06-21,LONG,9653.5,9633.6,-19.9,-1011.2,signal,1
