entry_date,exit_date,dir,entry,exit,pts,running,reason,days
2015-11-11,2015-11-16,LONG,7825.0,7806.6,-18.4,-18.4,signal,2
2015-11-17,2015-11-27,LONG,7837.6,7942.7,105.1,86.7,signal,7
2015-11-30,2015-12-07,LONG,7935.2,7765.4,-169.9,-83.2,stop,4
2015-12-08,2015-12-09,SHORT,7701.7,7612.5,89.2,6.0,signal,1
2015-12-10,2015-12-17,LONG,7683.3,7844.4,161.1,167.1,signal,5
2015-12-23,2015-12-28,LONG,7866.0,7925.2,59.2,226.3,signal,2
2015-12-29,2016-01-06,LONG,7929.0,7741.0,-187.9,38.4,stop,6
2016-01-07,2016-01-20,SHORT,7568.3,7309.3,259.0,297.4,signal,9
2016-01-22,2016-01-29,LONG,7422.4,7563.6,141.1,438.5,signal,4
2016-02-01,2016-02-03,LONG,7556.0,7361.8,-194.1,244.4,stop,2
2016-02-04,2016-02-10,LONG,7404.0,7215.7,-188.3,56.1,stop,4
2016-02-11,2016-02-15,SHORT,6976.4,7163.0,-186.6,-130.5,stop,2
2016-02-18,2016-02-24,LONG,7191.8,7018.7,-173.1,-303.6,stop,4
2016-02-25,2016-03-01,SHORT,6970.6,7222.3,-251.7,-555.3,stop,3
2016-03-02,2016-03-03,LONG,7368.8,7475.6,106.8,-448.5,signal,1
2016-03-04,2016-03-21,LONG,7485.4,7704.2,218.9,-229.6,signal,10
2016-03-22,2016-03-30,LONG,7714.9,7735.2,20.3,-209.3,signal,4
2016-03-31,2016-04-07,LONG,7738.4,7546.4,-191.9,-401.2,stop,5
2016-04-08,2016-04-12,SHORT,7555.2,7709.0,-153.8,-555.0,stop,2
2016-04-13,2016-04-26,LONG,7850.4,7962.6,112.2,-442.8,signal,6
2016-04-27,2016-05-02,LONG,7979.9,7805.9,-174.0,-616.8,stop,3
2016-05-04,2016-05-09,SHORT,7706.6,7866.0,-159.5,-776.3,stop,3
2016-05-10,2016-05-25,LONG,7887.8,7934.9,47.1,-729.2,signal,11
2016-05-26,2016-06-07,LONG,8069.6,8266.4,196.8,-532.4,signal,8
2016-06-08,2016-06-15,LONG,8273.0,8206.6,-66.4,-598.8,signal,5
2016-06-16,2016-06-24,SHORT,8140.8,8088.6,52.1,-546.7,signal,5
2016-06-27,2016-06-29,LONG,8094.7,8204.0,109.3,-437.4,signal,2
2016-06-30,2016-07-11,LONG,8287.8,8467.9,180.1,-257.3,signal,6
2016-07-12,2016-07-25,LONG,8521.0,8635.6,114.6,-142.7,signal,9
2016-07-28,2016-08-05,LONG,8666.3,8683.2,16.9,-125.8,signal,6
2016-08-08,2016-08-12,LONG,8711.4,8672.2,-39.2,-165.0,signal,4
2016-08-17,2016-08-25,SHORT,8624.0,8592.2,31.8,-133.2,signal,6
2016-08-26,2016-08-30,SHORT,8572.6,8744.4,-171.8,-305.0,stop,2
2016-08-31,2016-09-06,LONG,8786.2,8943.0,156.8,-148.2,signal,3
2016-09-07,2016-09-12,LONG,8918.0,8715.6,-202.4,-350.6,stop,3
2016-09-15,2016-09-22,LONG,8742.6,8867.4,124.9,-225.7,signal,5
2016-09-26,2016-09-29,SHORT,8723.0,8591.2,131.8,-93.9,signal,3
2016-09-30,2016-10-13,SHORT,8611.2,8573.4,37.8,-56.1,signal,7
