entry_date,exit_date,dir,entry,exit,pts,running,reason,days
2016-04-07,2016-04-11,SHORT,7546.4,7671.4,-124.9,-124.9,signal,2
2016-04-25,2016-04-26,SHORT,7855.0,7962.6,-107.6,-232.5,signal,1
2016-04-28,2016-05-03,SHORT,7847.2,7747.0,100.2,-132.3,signal,3
2016-05-11,2016-05-12,SHORT,7848.8,7900.4,-51.5,-183.8,signal,1
2016-05-13,2016-05-16,SHORT,7814.9,7860.8,-45.9,-229.7,signal,1
2016-05-19,2016-05-23,SHORT,7783.4,7731.0,52.3,-177.4,signal,2
2016-06-09,2016-06-10,SHORT,8203.6,8170.0,33.6,-143.8,signal,1
2016-06-13,2016-06-15,SHORT,8110.6,8206.6,-96.0,-239.8,signal,2
2016-06-16,2016-06-17,SHORT,8140.8,8170.2,-29.4,-269.2,signal,1
2016-07-05,2016-07-11,SHORT,8336.0,8467.9,-131.9,-401.1,signal,3
2016-07-21,2016-07-25,SHORT,8510.1,8635.6,-125.5,-526.6,signal,2
2016-08-03,2016-08-05,SHORT,8544.8,8683.2,-138.3,-664.9,signal,2
2016-08-22,2016-08-24,SHORT,8629.2,8650.3,-21.1,-686.0,signal,2
2016-08-25,2016-08-29,SHORT,8592.2,8607.4,-15.2,-701.2,signal,2
2016-09-23,2016-09-28,SHORT,8831.6,8745.2,86.4,-614.8,signal,3
2016-11-07,2016-11-08,LONG,8497.0,8543.6,46.5,-568.3,signal,1
2017-01-20,2017-01-23,SHORT,8349.4,8391.5,-42.1,-610.4,signal,1
2017-01-31,2017-02-01,SHORT,8561.3,8716.4,-155.1,-765.5,signal,1
2017-02-15,2017-02-17,SHORT,8724.7,8821.7,-97.0,-862.5,signal,2
2017-02-27,2017-03-01,SHORT,8896.7,8945.8,-49.1,-911.6,signal,2
2017-03-02,2017-03-06,SHORT,8899.8,8963.4,-63.7,-975.3,signal,2
2017-03-08,2017-03-10,SHORT,8924.3,8934.6,-10.2,-985.5,signal,2
2017-03-20,2017-03-23,SHORT,9126.8,9086.3,40.6,-944.9,signal,3
