entry_date,exit_date,dir,entry,exit,pts,running,reason,days
2015-11-24,2015-12-02,LONG,7831.6,7931.4,49.9,49.9,score,4
2015-12-17,2015-12-22,LONG,7844.4,7786.1,-29.1,20.8,score,3
2015-12-23,2015-12-24,LONG,7866.0,7861.0,-4.9,15.9,score,1
2015-12-28,2015-12-30,LONG,7925.2,7896.2,-14.4,1.5,score,2
2015-12-31,2016-01-04,LONG,7946.4,7791.3,-77.5,-76.0,score,2
2016-01-27,2016-02-01,LONG,7437.8,7556.0,59.1,-16.9,score,3
2016-02-19,2016-02-23,LONG,7210.8,7109.6,-101.2,-118.1,score,2
2016-03-02,2016-03-08,LONG,7368.8,7485.3,58.2,-59.9,score,3
2016-03-09,2016-03-10,LONG,7531.8,7486.2,-45.7,-105.6,score,1
2016-03-11,2016-03-15,LONG,7510.2,7460.6,-49.6,-155.2,score,2
2016-03-17,2016-03-28,LONG,7512.6,7615.1,51.3,-103.9,score,5
2016-03-31,2016-04-01,LONG,7738.4,7713.0,-12.7,-116.6,score,1
2016-04-04,2016-04-05,LONG,7758.8,7603.2,-155.6,-272.2,stop,1
2016-04-12,2016-04-20,LONG,7709.0,7914.8,205.8,-66.4,score,3
2016-04-21,2016-04-22,LONG,7912.0,7899.3,-6.4,-72.8,score,1
2016-04-26,2016-04-28,LONG,7962.6,7847.2,-57.7,-130.5,score,2
2016-05-09,2016-05-11,LONG,7866.0,7848.8,-8.6,-139.1,score,2
2016-05-12,2016-05-13,LONG,7900.4,7814.9,-85.5,-224.6,score,1
2016-05-16,2016-05-18,LONG,7860.8,7870.2,4.7,-219.9,score,2
2016-05-26,2016-06-06,LONG,8069.6,8201.0,65.7,-154.2,score,7
2016-06-07,2016-06-09,LONG,8266.4,8203.6,-62.9,-217.1,score,2
2016-06-21,2016-06-22,LONG,8219.9,8203.7,-8.1,-225.2,score,1
2016-06-23,2016-06-24,LONG,8270.4,8088.6,-90.9,-316.1,stop,1
2016-06-30,2016-07-05,LONG,8287.8,8336.0,24.1,-292.0,score,3
2016-07-07,2016-07-08,LONG,8337.9,8323.2,-7.3,-299.3,score,1
2016-07-11,2016-07-13,LONG,8467.9,8519.5,51.6,-247.7,score,2
2016-07-14,2016-07-15,LONG,8565.0,8541.4,-23.6,-271.3,score,1
2016-07-20,2016-07-21,LONG,8565.8,8510.1,-55.8,-327.1,score,1
2016-07-26,2016-07-29,LONG,8590.6,8638.5,23.9,-303.2,score,3
2016-08-05,2016-08-10,LONG,8683.2,8575.3,-53.9,-357.1,score,3
2016-08-18,2016-08-22,LONG,8673.2,8629.2,-22.1,-379.2,score,2
2016-08-31,2016-09-01,LONG,8786.2,8774.6,-11.6,-390.8,score,1
2016-09-02,2016-09-07,LONG,8809.6,8918.0,108.3,-282.5,score,2
2016-09-08,2016-09-09,LONG,8952.5,8866.7,-85.8,-368.3,score,1
2016-10-04,2016-10-05,LONG,8769.2,8744.0,-12.6,-380.9,score,1
2016-10-06,2016-10-07,LONG,8709.6,8697.6,-6.0,-386.9,score,1
2016-10-20,2016-10-21,LONG,8699.4,8693.0,-6.4,-393.3,score,1
2016-10-24,2016-10-25,LONG,8709.0,8691.3,-17.7,-411.0,score,1
2016-11-09,2016-11-10,LONG,8432.0,8525.8,46.9,-364.1,score,1
2016-11-28,2016-12-01,LONG,8126.9,8192.9,33.0,-331.1,score,3
2016-12-09,2016-12-12,LONG,8261.8,8170.8,-45.5,-376.6,score,1
2016-12-30,2017-01-02,LONG,8185.8,8179.5,-6.3,-382.9,score,1
2017-01-03,2017-01-06,LONG,8192.2,8243.8,25.8,-357.1,score,3
2017-01-10,2017-01-13,LONG,8288.6,8400.4,111.8,-245.3,score,3
2017-01-16,2017-01-17,LONG,8412.8,8398.0,-14.8,-260.1,score,1
2017-01-19,2017-01-20,LONG,8435.1,8349.4,-42.9,-303.0,score,1
2017-01-24,2017-01-31,LONG,8475.8,8561.3,42.8,-260.2,score,4
2017-02-01,2017-02-06,LONG,8716.4,8801.0,84.6,-175.6,score,3
2017-02-07,2017-02-14,LONG,8768.3,8792.3,12.0,-163.6,score,5
2017-02-20,2017-02-22,LONG,8879.2,8926.9,47.7,-115.9,score,2
2017-02-23,2017-02-27,LONG,8939.5,8896.7,-21.4,-137.3,score,1
2017-03-01,2017-03-02,LONG,8945.8,8899.8,-46.0,-183.3,score,1
2017-03-06,2017-03-07,LONG,8963.4,8946.9,-8.3,-191.6,score,1
2017-03-09,2017-03-10,LONG,8927.0,8934.6,7.5,-184.1,score,1
2017-03-16,2017-03-17,LONG,9153.7,9160.0,6.3,-177.8,score,1
2017-03-28,2017-03-29,LONG,9100.8,9143.8,21.5,-156.3,score,1
2017-03-30,2017-03-31,LONG,9173.8,9173.8,0.0,-156.3,score,1
2017-04-03,2017-04-05,LONG,9237.8,9265.2,27.3,-129.0,score,1
2017-04-06,2017-04-07,LONG,9262.0,9198.3,-31.8,-160.8,score,1
2017-04-25,2017-04-27,LONG,9306.6,9342.2,35.5,-125.3,score,2
2017-05-02,2017-05-03,LONG,9313.8,9312.0,-1.8,-127.1,score,1
2017-05-04,2017-05-05,LONG,9359.9,9285.3,-74.6,-201.7,score,1
2017-05-11,2017-05-12,LONG,9422.4,9400.9,-10.8,-212.5,score,1
2017-05-15,2017-05-17,LONG,9445.4,9525.8,80.4,-132.1,score,2
2017-05-26,2017-05-29,LONG,9595.1,9604.9,9.8,-122.3,score,1
2017-05-30,2017-05-31,LONG,9624.6,9621.2,-3.3,-125.6,score,1
2017-06-02,2017-06-06,LONG,9653.5,9637.2,-16.4,-142.0,score,2
2017-06-07,2017-06-08,LONG,9663.9,9647.2,-8.3,-150.3,score,1
2017-06-09,2017-06-12,LONG,9668.2,9616.4,-25.9,-176.2,score,1
2017-06-19,2017-06-21,LONG,9657.6,9633.6,-12.0,-188.2,score,2
2017-07-05,2017-07-07,LONG,9637.6,9665.8,28.2,-160.0,score,2
2017-07-10,2017-07-11,LONG,9771.0,9786.0,15.0,-145.0,score,1
2017-07-12,2017-07-14,LONG,9816.1,9886.4,70.2,-74.8,score,2
2017-07-17,2017-07-18,LONG,9916.0,9827.2,-44.4,-119.2,score,1
2017-07-19,2017-07-20,LONG,9899.6,9873.3,-26.3,-145.5,score,1
2017-07-21,2017-07-28,LONG,9915.2,10014.5,49.6,-95.9,score,5
2017-07-31,2017-08-02,LONG,10077.1,10081.5,4.4,-91.5,score,2
2017-08-18,2017-08-21,LONG,9837.4,9754.4,-41.5,-133.0,score,1
2017-08-24,2017-08-29,LONG,9857.0,9796.0,-30.5,-163.5,score,2
2017-08-31,2017-09-04,LONG,9917.9,9912.8,-2.5,-166.0,score,2
2017-09-05,2017-09-06,LONG,9952.2,9916.2,-36.0,-202.0,score,1
2017-09-07,2017-09-21,LONG,9929.9,10121.9,96.0,-106.0,score,10
2017-10-06,2017-10-11,LONG,9979.7,9984.8,5.1,-100.9,score,3
2017-10-12,2017-10-19,LONG,10096.4,10146.6,25.1,-75.8,score,5
2017-10-24,2017-10-27,LONG,10207.7,10323.0,115.3,39.5,score,3
2017-10-30,2017-10-31,LONG,10363.6,10335.3,-28.4,11.1,score,1
2017-11-01,2017-11-02,LONG,10440.5,10423.8,-16.7,-5.6,score,1
2017-11-03,2017-11-06,LONG,10452.5,10451.8,-0.7,-6.3,score,1
2017-11-20,2017-11-21,LONG,10298.8,10326.9,28.1,21.8,score,1
2017-11-22,2017-11-27,LONG,10342.3,10399.6,57.2,79.0,score,3
2017-11-28,2017-11-29,LONG,10370.2,10361.3,-4.5,74.5,score,1
2017-12-11,2017-12-12,LONG,10322.2,10240.2,-82.1,-7.6,score,1
2017-12-14,2017-12-15,LONG,10252.1,10333.2,81.1,73.5,score,1
2017-12-18,2017-12-20,LONG,10388.8,10444.2,55.5,129.0,score,2
2017-12-22,2017-12-26,LONG,10493.0,10531.5,38.5,167.5,score,1
2017-12-29,2018-01-01,LONG,10530.7,10435.6,-95.2,72.3,score,1
2018-01-05,2018-01-09,LONG,10558.8,10637.0,78.1,150.4,score,2
2018-01-11,2018-01-12,LONG,10651.2,10681.2,30.0,180.4,score,1
2018-01-15,2018-01-16,LONG,10741.6,10700.4,-41.1,139.3,score,1
2018-01-17,2018-01-30,LONG,10788.6,11049.6,130.6,269.9,score,8
2018-02-26,2018-02-27,LONG,10582.6,10554.3,-28.3,241.6,score,1
2018-02-28,2018-03-01,LONG,10492.8,10458.4,-17.2,224.4,score,1
2018-03-13,2018-03-14,LONG,10426.8,10410.9,-8.0,216.4,score,1
